GeneID	Chr	Start	End	Strand	Length
ENSG00000162591.15	chr1	3489920	3611495	-	121576
ENSG00000207776.1	chr1	3560695	3560790	-	96
ENSG00000238260.1	chr1	3623190	3624743	-	1554
ENSG00000158109.14	chr1	3625002	3630127	+	5126
ENSG00000116213.15	chr1	3630767	3652761	-	21995
ENSG00000078900.14	chr1	3652520	3736201	+	83682
ENSG00000227589.1	chr1	3658938	3668772	-	9835
ENSG00000235131.1	chr1	3712200	3714298	-	2099
ENSG00000227372.11	chr1	3735601	3747336	-	11736
ENSG00000276189.1	chr1	3736943	3737103	+	161
ENSG00000162592.9	chr1	3746460	3771645	+	25186
ENSG00000235169.8	chr1	3772761	3775982	+	3222
ENSG00000130764.9	chr1	3778558	3796504	-	17947
ENSG00000266075.2	chr1	3782815	3783111	+	297
ENSG00000272153.1	chr1	3785008	3785538	+	531
ENSG00000116198.12	chr1	3812081	3857214	-	45134
ENSG00000169598.15	chr1	3857267	3885429	+	28163
ENSG00000198912.10	chr1	3889125	3900293	-	11169
ENSG00000236423.5	chr1	3900372	3917225	+	16854
ENSG00000233304.6	chr1	3940565	3955262	+	14698
ENSG00000226374.2	chr1	3944547	3948980	-	4434
ENSG00000284668.1	chr1	3976133	4012699	+	36567
ENSG00000284703.1	chr1	4012921	4019508	-	6588
ENSG00000229280.1	chr1	4175528	4175899	-	372
ENSG00000235054.3	chr1	4412027	4424689	+	12663
ENSG00000284694.1	chr1	4479131	4484375	-	5245
ENSG00000227169.2	chr1	4551735	4552145	-	411
ENSG00000232596.2	chr1	4571481	4594009	+	22529
ENSG00000196581.10	chr1	4654732	4792534	+	137803
ENSG00000284739.1	chr1	4963954	4973298	-	9345
ENSG00000284674.1	chr1	4973381	4981568	+	8188
ENSG00000231510.1	chr1	5086459	5090899	-	4441
ENSG00000284616.1	chr1	5301928	5307394	-	5467
ENSG00000284692.1	chr1	5478736	5493057	-	14322
ENSG00000284666.1	chr1	5480787	5482028	-	1242
ENSG00000260972.1	chr1	5492978	5494674	+	1697
ENSG00000283356.1	chr1	5554747	5554881	+	135
ENSG00000236948.2	chr1	5561709	5668295	-	106587
ENSG00000264341.1	chr1	5564071	5564143	+	73
ENSG00000264101.1	chr1	5862672	5862741	-	70
ENSG00000131697.17	chr1	5862811	5992473	-	129663
ENSG00000069424.14	chr1	5991466	6101193	+	109728
ENSG00000116254.17	chr1	6101793	6180123	-	78331
ENSG00000116251.9	chr1	6181269	6209389	-	28121
ENSG00000226944.1	chr1	6204840	6205780	-	941
ENSG00000158286.12	chr1	6205475	6221299	+	15825
ENSG00000116237.15	chr1	6221193	6235972	-	14780
ENSG00000225077.2	chr1	6236240	6239444	+	3205
ENSG00000173673.7	chr1	6244192	6245578	+	1387
ENSG00000158292.6	chr1	6247346	6260975	-	13630
ENSG00000097021.19	chr1	6264269	6394391	-	130123
ENSG00000271746.1	chr1	6393555	6394391	+	837
ENSG00000069812.11	chr1	6412418	6424670	-	12253
ENSG00000187017.16	chr1	6424776	6461367	+	36592
ENSG00000265392.1	chr1	6429834	6429896	-	63
ENSG00000231868.1	chr1	6443034	6447006	-	3973
ENSG00000215788.9	chr1	6461151	6466195	-	5045
ENSG00000171680.21	chr1	6466092	6520061	-	53970
ENSG00000162408.10	chr1	6521347	6554535	-	33189
ENSG00000253022.1	chr1	6540854	6540964	+	111
ENSG00000229519.2	chr1	6547905	6548619	+	715
ENSG00000173662.20	chr1	6555181	6579757	+	24577
ENSG00000204859.12	chr1	6580001	6589280	+	9280
ENSG00000162413.16	chr1	6590724	6614607	-	23884
ENSG00000116273.5	chr1	6613685	6624033	+	10349
ENSG00000041988.15	chr1	6624866	6635586	+	10721
ENSG00000007923.15	chr1	6634168	6701924	-	67757
ENSG00000228750.6	chr1	6724637	6730012	+	5376
ENSG00000284744.1	chr1	6767954	6770038	+	2085
ENSG00000237436.1	chr1	6783892	6784843	-	952
ENSG00000171735.18	chr1	6785324	7769706	+	984383
ENSG00000227950.1	chr1	6834333	6834618	-	286
ENSG00000237365.1	chr1	7008376	7014279	-	5904
ENSG00000207056.1	chr1	7219360	7219524	+	165
ENSG00000237402.1	chr1	7368942	7370270	+	1329
ENSG00000237728.2	chr1	7382487	7389754	-	7268
ENSG00000225126.1	chr1	7441096	7441554	-	459
ENSG00000270171.1	chr1	7693124	7694844	-	1721
ENSG00000270035.1	chr1	7698303	7698872	-	570
ENSG00000269978.1	chr1	7700704	7700970	-	267
ENSG00000049245.12	chr1	7771269	7781432	+	10164
ENSG00000269925.1	chr1	7776383	7776775	+	393
ENSG00000049246.14	chr1	7784320	7845177	+	60858
ENSG00000236266.1	chr1	7810242	7827342	-	17101
ENSG00000049247.13	chr1	7843083	7853512	-	10430
ENSG00000049249.8	chr1	7915894	7943165	-	27272
ENSG00000270330.1	chr1	7942372	7942726	+	355
ENSG00000116288.12	chr1	7954291	7985505	+	31215
ENSG00000200344.1	chr1	7982881	7982983	-	103
ENSG00000284747.1	chr1	7991134	8005312	+	14179
ENSG00000284716.1	chr1	7998187	7999934	-	1748
ENSG00000116285.12	chr1	8004404	8026308	-	21905
ENSG00000238290.1	chr1	8026738	8122702	+	95965
ENSG00000232848.1	chr1	8057245	8058463	-	1219
ENSG00000229305.1	chr1	8189824	8192770	+	2947
ENSG00000227634.2	chr1	8202429	8215210	+	12782
ENSG00000200975.1	chr1	8206434	8206597	-	164
ENSG00000233645.1	chr1	8218190	8220529	-	2340
ENSG00000251977.1	chr1	8292157	8292263	-	107
ENSG00000162426.14	chr1	8317826	8344167	+	26342
ENSG00000252254.1	chr1	8328067	8328179	+	113
ENSG00000142599.17	chr1	8352397	8817643	-	465247
ENSG00000232912.5	chr1	8424645	8434838	+	10194
ENSG00000221083.1	chr1	8511795	8511919	-	125
ENSG00000270282.1	chr1	8512653	8513021	+	369
ENSG00000234619.1	chr1	8750430	8751087	+	658
ENSG00000224315.2	chr1	8786211	8786913	-	703
ENSG00000222511.2	chr1	8796571	8796673	-	103
ENSG00000226545.1	chr1	8798475	8799506	+	1032
ENSG00000228423.2	chr1	8805860	8807051	-	1192
ENSG00000229716.2	chr1	8831007	8831375	+	369
ENSG00000074800.14	chr1	8861000	8879250	-	18251
ENSG00000274258.1	chr1	8866502	8866590	-	89
ENSG00000230679.1	chr1	8878835	8879894	+	1060
ENSG00000201725.1	chr1	8883427	8883533	-	107
ENSG00000238249.2	chr1	8893409	8894151	+	743
ENSG00000232208.2	chr1	8907393	8907744	-	352
ENSG00000232663.2	chr1	8909742	8909904	+	163
ENSG00000131686.14	chr1	8945867	8975092	+	29226
ENSG00000265141.2	chr1	8979576	8979874	-	299
ENSG00000197241.3	chr1	9003300	9026345	-	23046
ENSG00000142583.17	chr1	9035107	9088478	-	53372
ENSG00000252404.1	chr1	9082696	9082879	+	184
ENSG00000180758.11	chr1	9100305	9129170	-	28866
ENSG00000228526.7	chr1	9148011	9198906	-	50896
ENSG00000284357.1	chr1	9151668	9151777	-	110
ENSG00000234546.3	chr1	9182004	9196284	+	14281
ENSG00000049239.12	chr1	9234775	9271337	+	36563
ENSG00000171621.13	chr1	9292880	9369532	+	76653
ENSG00000284652.1	chr1	9421098	9422862	-	1765
ENSG00000284693.1	chr1	9425094	9440564	-	15471
ENSG00000252956.1	chr1	9437669	9437778	-	110
ENSG00000235263.1	chr1	9501092	9503471	-	2380
ENSG00000171612.6	chr1	9539482	9585179	+	45698
ENSG00000231181.1	chr1	9576427	9576985	+	559
ENSG00000188807.12	chr1	9588922	9614873	+	25952
ENSG00000171608.15	chr1	9651732	9729114	+	77383
ENSG00000179840.5	chr1	9652610	9654586	-	1977
ENSG00000233268.3	chr1	9660828	9662626	-	1799
ENSG00000231789.2	chr1	9672426	9687555	-	15130
ENSG00000171603.16	chr1	9729026	9824526	-	95501
ENSG00000271264.1	chr1	9780822	9781240	+	419
ENSG00000280113.2	chr1	9826289	9828271	-	1983
ENSG00000178585.14	chr1	9848276	9910336	-	62061
ENSG00000223989.1	chr1	9848318	9850154	+	1837
ENSG00000162441.11	chr1	9922113	9943407	-	21295
ENSG00000228150.1	chr1	9942923	9949974	+	7052
ENSG00000173614.13	chr1	9943428	9985501	+	42074
ENSG00000202415.1	chr1	9947318	9947636	+	319
ENSG00000283611.2	chr1	9950572	9960787	-	10216
ENSG00000265521.1	chr1	9967381	9967458	+	78
ENSG00000241326.1	chr1	9983141	9984568	+	1428
ENSG00000162444.11	chr1	9997206	10016020	+	18815
ENSG00000130939.18	chr1	10032832	10181239	+	148408
ENSG00000224340.1	chr1	10054445	10054781	-	337
ENSG00000233623.2	chr1	10058671	10059648	+	978
ENSG00000201746.1	chr1	10163268	10163374	+	107
ENSG00000054523.17	chr1	10210805	10381603	+	170799
ENSG00000264881.1	chr1	10227718	10227803	+	86
ENSG00000199562.1	chr1	10298966	10299072	+	107
ENSG00000264501.2	chr1	10306465	10306757	+	293
ENSG00000284735.1	chr1	10381906	10387150	-	5245
ENSG00000284642.1	chr1	10395416	10397432	+	2017
ENSG00000142657.20	chr1	10398592	10420144	+	21553
ENSG00000271989.1	chr1	10429881	10430677	-	797
ENSG00000251503.8	chr1	10430102	10452153	+	22052
ENSG00000175279.21	chr1	10430443	10442809	+	12367
ENSG00000241563.3	chr1	10449719	10451902	+	2184
ENSG00000160049.11	chr1	10456522	10472526	-	16005
ENSG00000203469.2	chr1	10458555	10459338	+	784
ENSG00000142655.12	chr1	10472288	10630758	+	158471
ENSG00000243267.3	chr1	10616836	10617115	+	280
ENSG00000130940.14	chr1	10636604	10796650	-	160047
ENSG00000272078.1	chr1	10639241	10654333	+	15093
ENSG00000225158.2	chr1	10895761	10895998	+	238
ENSG00000175262.14	chr1	10946471	10982037	-	35567
ENSG00000215785.2	chr1	10990978	10991797	-	820
ENSG00000120948.16	chr1	11012344	11026420	+	14077
ENSG00000277726.4	chr1	11012662	11030528	+	17867
ENSG00000009724.16	chr1	11026523	11047233	-	20711
ENSG00000271895.2	chr1	11029659	11030528	+	870
ENSG00000116649.9	chr1	11054584	11060024	-	5441
ENSG00000171824.13	chr1	11066618	11099881	-	33264
ENSG00000226849.1	chr1	11068471	11073097	+	4627
ENSG00000230337.1	chr1	11099675	11102100	+	2426
ENSG00000198793.12	chr1	11106535	11262507	-	155973
ENSG00000225602.5	chr1	11143898	11149537	+	5640
ENSG00000253086.1	chr1	11152350	11152452	+	103
ENSG00000171819.4	chr1	11189341	11195981	+	6641
ENSG00000207451.1	chr1	11226254	11226360	+	107
ENSG00000238173.1	chr1	11232963	11233112	+	150
ENSG00000120942.13	chr1	11273206	11296049	+	22844
ENSG00000238199.1	chr1	11278616	11279351	-	736
ENSG00000284646.1	chr1	11311734	11319093	-	7360
ENSG00000224338.2	chr1	11425257	11425821	-	565
ENSG00000204624.7	chr1	11479166	11537584	+	58419
ENSG00000235643.1	chr1	11609531	11613355	+	3825
ENSG00000284708.1	chr1	11623558	11643416	+	19859
ENSG00000116661.10	chr1	11637018	11655785	-	18768
ENSG00000132879.13	chr1	11654375	11663327	+	8953
ENSG00000116663.10	chr1	11664124	11674354	+	10231
ENSG00000116670.14	chr1	11674480	11691650	-	17171
ENSG00000162490.6	chr1	11691729	11725857	+	34129
ENSG00000177674.15	chr1	11736084	11754802	+	18719
ENSG00000215910.7	chr1	11761787	11789585	+	27799
ENSG00000177553.6	chr1	11777077	11779619	-	2543
ENSG00000177000.11	chr1	11785723	11806920	-	21198
ENSG00000011021.21	chr1	11806096	11843144	+	37049
ENSG00000242349.5	chr1	11841017	11848079	+	7063
ENSG00000276470.1	chr1	11843812	11843984	+	173
ENSG00000278852.1	chr1	11845549	11845697	+	149
ENSG00000175206.10	chr1	11845709	11848345	-	2637
ENSG00000275915.1	chr1	11847442	11847549	+	108
ENSG00000120937.8	chr1	11857464	11858931	-	1468
ENSG00000224904.1	chr1	11877770	11880406	+	2637
ENSG00000199347.1	chr1	11908152	11908271	+	120
ENSG00000201801.1	chr1	11909808	11909927	-	120
ENSG00000116685.15	chr1	11919591	11926428	-	6838
ENSG00000083444.16	chr1	11934205	11975538	+	41334
ENSG00000116688.16	chr1	11980181	12013514	+	33334
ENSG00000270914.1	chr1	12017216	12017308	-	93
ENSG00000116691.10	chr1	12019466	12032045	+	12580
ENSG00000202461.1	chr1	12024012	12024124	-	113
ENSG00000276869.1	chr1	12029158	12029222	+	65
ENSG00000243539.3	chr1	12036740	12037014	-	275
ENSG00000120949.14	chr1	12063377	12144207	+	80831
ENSG00000201135.1	chr1	12077881	12077984	-	104
ENSG00000227875.2	chr1	12080293	12080547	-	255
ENSG00000283789.1	chr1	12166943	12167038	+	96
ENSG00000028137.18	chr1	12167003	12209228	+	42226
ENSG00000263676.1	chr1	12191713	12191773	+	61
ENSG00000225196.2	chr1	12220794	12221109	-	316
ENSG00000252969.1	chr1	12221148	12221271	-	124
ENSG00000048707.14	chr1	12230032	12512047	+	282016
ENSG00000239149.1	chr1	12507246	12507397	+	152
ENSG00000229484.1	chr1	12527724	12528420	+	697
ENSG00000162496.8	chr1	12567910	12617731	-	49822
ENSG00000221340.1	chr1	12569972	12570072	-	101
ENSG00000276830.1	chr1	12578957	12579023	-	67
ENSG00000272482.1	chr1	12618900	12619244	-	345
ENSG00000204518.2	chr1	12644547	12667086	+	22540
ENSG00000226166.2	chr1	12692909	12693020	+	112
ENSG00000188984.11	chr1	12716115	12728759	+	12645
ENSG00000157330.9	chr1	12746215	12763699	+	17485
ENSG00000116726.4	chr1	12774841	12777906	+	3066
ENSG00000116721.9	chr1	12791397	12796628	+	5232
ENSG00000228338.1	chr1	12822686	12823159	-	474
ENSG00000239810.3	chr1	12824605	12831410	-	6806
ENSG00000231103.2	chr1	12838125	12841357	-	3233
ENSG00000179172.9	chr1	12847408	12848725	-	1318
ENSG00000120952.4	chr1	12857086	12861909	+	4824
ENSG00000243073.3	chr1	12879224	12886201	-	6978
ENSG00000187545.5	chr1	12892896	12898270	-	5375
ENSG00000204510.5	chr1	12916610	12920482	+	3873
ENSG00000207434.1	chr1	12922554	12922660	+	107
ENSG00000234064.1	chr1	12926162	12928253	+	2092
ENSG00000232423.6	chr1	12938472	12947580	-	9109
ENSG00000274178.2	chr1	13029339	13032130	+	2792
ENSG00000274764.5	chr1	13049476	13056491	-	7016
ENSG00000277058.2	chr1	13060869	13062229	+	1361
ENSG00000229571.7	chr1	13068677	13077884	+	9208
ENSG00000277862.1	chr1	13095179	13097971	-	2793
ENSG00000236179.1	chr1	13104403	13105689	-	1287
ENSG00000275774.2	chr1	13115496	13116854	-	1359
ENSG00000229978.1	chr1	13128818	13131615	+	2798
ENSG00000233336.1	chr1	13146981	13147460	-	480
ENSG00000280267.4	chr1	13148905	13155961	-	7057
ENSG00000179412.10	chr1	13164586	13165467	-	882
ENSG00000204505.4	chr1	13172455	13179464	+	7010
ENSG00000279169.2	chr1	13196330	13201409	-	5080
ENSG00000279804.2	chr1	13222705	13226106	-	3402
ENSG00000250894.1	chr1	13245863	13248652	+	2790
ENSG00000270601.4	chr1	13254212	13263314	+	9103
ENSG00000231219.1	chr1	13273539	13275627	-	2089
ENSG00000207511.1	chr1	13279125	13279231	-	107
ENSG00000182330.10	chr1	13281035	13285174	-	4140
ENSG00000237700.2	chr1	13303539	13308907	+	5369
ENSG00000204501.7	chr1	13315581	13322598	+	7018
ENSG00000228229.2	chr1	13324039	13324518	+	480
ENSG00000204481.7	chr1	13342034	13347134	-	5101
ENSG00000204480.7	chr1	13369067	13371693	-	2627
ENSG00000204479.4	chr1	13389632	13392629	+	2998
ENSG00000204478.9	chr1	13410450	13421328	+	10879
ENSG00000162494.5	chr1	13474977	13514048	-	39072
ENSG00000259961.1	chr1	13513220	13516270	+	3051
ENSG00000215909.3	chr1	13555001	13555694	+	694
ENSG00000162493.16	chr1	13583465	13617957	+	34493
ENSG00000222952.1	chr1	13623184	13623284	-	101
ENSG00000237445.2	chr1	13657311	13659910	-	2600
ENSG00000253085.1	chr1	13696070	13696199	-	130
ENSG00000116731.22	chr1	13700198	13825079	+	124882
ENSG00000189337.16	chr1	13892792	15118043	+	1225252
ENSG00000252151.1	chr1	14124233	14124335	-	103
ENSG00000231606.1	chr1	14221891	14223118	-	1228
ENSG00000234593.2	chr1	14348955	14391575	-	42621
ENSG00000235829.1	chr1	14692129	14692613	-	485
ENSG00000175147.11	chr1	15111815	15152464	-	40650
ENSG00000171729.13	chr1	15152532	15220480	+	67949
ENSG00000204464.7	chr1	15164344	15171317	-	6974
ENSG00000215720.4	chr1	15191828	15192845	-	1018
ENSG00000278480.1	chr1	15226373	15227549	+	1177
ENSG00000142621.19	chr1	15247272	15400283	+	153012
ENSG00000233485.1	chr1	15326680	15343876	-	17197
ENSG00000236045.1	chr1	15334166	15335464	-	1299
ENSG00000228140.1	chr1	15402979	15409433	-	6455
ENSG00000142634.12	chr1	15409895	15430343	+	20449
ENSG00000162438.11	chr1	15438439	15449242	+	10804
ENSG00000142615.7	chr1	15456728	15472091	+	15364
ENSG00000215704.9	chr1	15465909	15491400	+	25492
ENSG00000132906.17	chr1	15490832	15526534	-	35703
ENSG00000116138.12	chr1	15526813	15592379	+	65567
ENSG00000251866.1	chr1	15542165	15542304	+	140
ENSG00000272510.1	chr1	15565611	15565956	-	346
ENSG00000116771.5	chr1	15572353	15585110	-	12758
ENSG00000237301.1	chr1	15586136	15603626	-	17491
ENSG00000235084.3	chr1	15604597	15605043	+	447
ENSG00000252417.1	chr1	15608078	15608145	-	68
ENSG00000236500.1	chr1	15614643	15614867	-	225
ENSG00000197312.11	chr1	15617500	15669044	+	51545
ENSG00000215695.1	chr1	15659869	15661722	+	1854
ENSG00000271742.1	chr1	15682873	15683128	-	256
ENSG00000116786.12	chr1	15684332	15734769	+	50438
ENSG00000237938.5	chr1	15720312	15736896	-	16585
ENSG00000162461.7	chr1	15736405	15741396	+	4992
ENSG00000224459.1	chr1	15740051	15749896	-	9846
